title,type,question,A,B,C,D,answer,image
Praktik Galus UASA Geografi T2 Bab 4,radio,F2 Bab 4,A,B,C,D,C,Galus/Picture11.png
,radio,F2 Bab 4,A,B,C,D,B,Galus/Picture12.png
,radio,F2 Bab 4,A,B,C,D,C,Galus/Picture13.png
,radio,F2 Bab 4,A,B,C,D,D,Galus/Picture14.png
,radio,F2 Bab 4,A,B,C,D,C,Galus/Picture15.png
,radio,F2 Bab 4,A,B,C,D,D,Galus/Picture16.png
,radio,F2 Bab 4,A,B,C,D,A,Galus/Picture17.png
,radio,F2 Bab 4,A,B,C,D,B,Galus/Picture18.png
,radio,F2 Bab 4,A,B,C,D,D,Galus/Picture19.png
,radio,F2 Bab 4,A,B,C,D,A,Galus/Picture20.png
